organization,job_position,job_code,location,summary,roles_responsibilities,required_skills,position,years_of_experience,contract_length,work_auth,certifications,benefits,pay_rate,reward_rate
Ascension Health,RN Medical / Surgical,ASC-9072|AH-HHC-28855,onsite,"['Provide direct nursing care in accordance with established policies, procedures and protocols of the healthcare organization.', 'Department: Observation Unit', 'Shift Timing: 19:00 - 07:30']","['Implement and monitor patient care plans. Monitor, record and communicate patient condition as appropriate.', 'Serve as a primary coordinator of all disciplines for well-coordinated patient care.', 'Note and carry out physician and nursing orders.', ""Assess and coordinate patient's discharge planning needs with members of the healthcare team.""]","['Traveler RN Medical / Surgical', 'RN Medical / Surgical', 'Registered Nurse > Registered Nurse Nursing']",1 Available Positions,1-3 years Experience Required,4 months Term,"Work Auth: Green Card, US Citizen","Certifications: Basic Life Support (BLS) Certification, Licensed Registered Nurse credentialed from the Wisconsin Board of Nursing required","Benefits: Dental , Eye Care, Medical","Reward Rate:
USD
$
6.69 /hr","Reward Rate:
USD
$
6.69 /hr"
Ascension Health,RN Medical / Surgical,ASC-9657|AH-HHC-66805,onsite,"['Department: Med Surg 6E', 'Shift timing: Early Morning shift 06:45 - 19:15 Hours ']","['Implement and monitor patient care plans. Monitor, record and communicate patient condition as appropriate.', 'Serve as a primary coordinator of all disciplines for well-coordinated patient care.', 'Note and carry out physician and nursing orders.', ""Assess and coordinate patient's discharge planning needs with members of the healthcare team.""]","['Registered Nurse > Registered Nurse Nursing', 'Travel RN', 'Travel Registered Nurse']",3 Available Positions,1-3 years Experience Required,4 months Term,"Work Auth: Green Card, US Citizen","Certifications: Basic Life Support (BLS), National Institute of Health (NIH), Clinical practice improvement (CPI)","Benefits: Dental , Eye Care, Medical","Reward Rate:
USD
$
6.85 /hr","Reward Rate:
USD
$
6.85 /hr"
Ascension Health,RN Medical / Surgical,ASC-9677|AH-HHC-32838,onsite,"['Department: Renal Dialysis Unit', 'Shift timing: Night Shift 18:30 - 07:00 hours ']","['Implement and monitor patient care plans. Monitor, record and communicate patient condition as appropriate.', 'Serve as a primary coordinator of all disciplines for well-coordinated patient care.', 'Note and carry out physician and nursing orders.', ""Assess and coordinate patient's discharge planning needs with members of the healthcare team.""]","['Registered Nurse > Registered Nurse Nursing', 'Travel RN', 'Travel Registered Nurse']",1 Available Positions,1-3 years Experience Required,4 months Term,"Work Auth: Green Card, US Citizen","Certifications: Basic Life Support (BLS), National Institute of Health (NIH), Clinical practice improvement (CPI)","Benefits: Dental , Eye Care, Medical","Reward Rate:
USD
$
6.46 /hr","Reward Rate:
USD
$
6.46 /hr"
Ascension Health,RN Telemetry,ASC-9687|AH-HHC-69973,onsite,"['Department: Cardiovascular Unit', 'Shift Timings: Early Morning Shift 06:45 - 19:15 Hours ']","['Implement and monitor patient care plans. Monitor, record and communicate patient condition as appropriate.', 'Serve as a primary coordinator of all disciplines for well-coordinated patient care.', 'Note and carry out physician and nursing orders.', ""Assess and coordinate patient's discharge planning needs with members of the healthcare team.""]","['Registered Nurse (RN) - Telemetry', 'Traveler Registered Nurse (RN) - Telemetry']",1 Available Positions,1-3 years Experience Required,3 months Term,"Work Auth: Green Card, US Citizen","Certifications: Basic Life Support (BLS) Certification, Advanced Cardiovascular Life Support (ACLS), Clinical practice improvement (CPI)","Benefits: Dental , Eye Care, Medical","Reward Rate:
USD
$
6.46 /hr","Reward Rate:
USD
$
6.46 /hr"
Ascension Health,RN Telemetry,ASC-9688|AH-HHC-85431,onsite,"['Department: Cardiovascular Unit', 'Shift Timings: Early Morning Shift 06:45 - 19:15 Hours ']","['Implement and monitor patient care plans. Monitor, record and communicate patient condition as appropriate.', 'Serve as a primary coordinator of all disciplines for well-coordinated patient care.', 'Note and carry out physician and nursing orders.', ""Assess and coordinate patient's discharge planning needs with members of the healthcare team.""]","['Registered Nurse (RN) - Telemetry', 'Traveler Registered Nurse (RN) - Telemetry']",1 Available Positions,1-3 years Experience Required,3 months Term,"Work Auth: Green Card, US Citizen","Certifications: Basic Life Support (BLS) Certification, Advanced Cardiovascular Life Support (ACLS), Clinical practice improvement (CPI)","Benefits: Dental , Eye Care, Medical","Reward Rate:
USD
$
6.46 /hr","Reward Rate:
USD
$
6.46 /hr"
Community Medical Center,RN Emergency Room,CHS-2|CME-HHC-70518,onsite,"['Department: Emergency Department', 'Shift Timing: Morning Shift  07:00-19:30  Hours ']","['Implement and monitor patient care plans. Monitor, record and communicate patient condition as appropriate.', 'Serve as a primary coordinator of all disciplines for well-coordinated patient care.', 'Note and carry out physician and nursing orders.', ""Assess and coordinate patient's discharge planning needs with members of the healthcare team.""]","['Traveler RN Medical / Surgical', 'RN Medical / Surgical']",1 Available Positions,1-3 years Experience Required,3 months Term,"Work Auth: Green Card, US Citizen","Certifications: Basic Life Support (BLS) Certification, Advanced Cardiovascular Life Support (ACLS), Pediatric Advanced Life Support (PALS) Certification, Neonatal Resuscitation Program (NRP) Certification, Trauma Nursing Core Course (TNCC), National Institutes of Health (NIH)","Benefits: Dental , Eye Care, Medical","Reward Rate:
USD
$
7.53 /hr","Reward Rate:
USD
$
7.53 /hr"
Ascension Health,Certified Surgical Technician (CST),ASC-8680|AH-HHC-59907,onsite,"['Endovascular and/or neuro experience is strongly preferred.', 'Department: Surgery ', 'Shift Timings: 06:30 - 19:00']","['Prepare surgical operating suite with sterile drapes and sterile solutions as well as appropriate sterile and non-sterile instruments and supplies.', 'Hand required/requested instruments and supplies to surgeon during surgery.', 'Assist with preparing, transporting, positioning and draping patients.', 'Maintain instruments in an organized manner and monitor/track instrument counts throughout procedures.']","['Certified Surgical Technologist', 'Certified Surgical Technologist BLS Certification', 'Traveler Certified Surgical Technologist']",1 Available Positions,1-3 years Experience Required,4 months Term,"Work Auth: Green Card, US Citizen","Certifications: Basic Life Support (BLS) Certification, Ascension Crisis Prevention Intervention (CPI)","Benefits: Dental , Eye Care, Medical","Reward Rate:
USD
$
5.84 /hr","Reward Rate:
USD
$
5.84 /hr"
Community Medical Center,RN Telemetry I,CHS-3|CME-HHC-30297,onsite,"['Department: CPCU', 'Shift Timings: Night Shift 19:00 - 07:30 Hours ']","['mplement and monitor patient care plans. Monitor, record and communicate patient condition as appropriate.', 'Serve as a primary coordinator of all disciplines for well-coordinated patient care.', 'Note and carry out physician and nursing orders.', ""Assess and coordinate patient's discharge planning needs with members of the healthcare team.""]","['Registered Nurse (RN) - Telemetry', 'Traveler Registered Nurse (RN) - Telemetry']",1 Available Positions,1-3 years Experience Required,3 months Term,"Work Auth: Green Card, US Citizen","Certifications: Basic Life Support (BLS) Certification, Advanced Cardiovascular Life Support (ACLS)","Benefits: Dental , Eye Care, Medical","Reward Rate:
USD
$
9.01 /hr","Reward Rate:
USD
$
9.01 /hr"
Community Medical Center,RN Telemetry I,CHS-4|CME-HHC-11814,onsite,"['Department: CPCU', 'Shift Timings: Night Shift 19:00 - 07:30 Hours ']","['mplement and monitor patient care plans. Monitor, record and communicate patient condition as appropriate.', 'Serve as a primary coordinator of all disciplines for well-coordinated patient care.', 'Note and carry out physician and nursing orders.', ""Assess and coordinate patient's discharge planning needs with members of the healthcare team.""]","['Registered Nurse (RN) - Telemetry', 'Traveler Registered Nurse (RN) - Telemetry']",1 Available Positions,1-3 years Experience Required,3 months Term,"Work Auth: Green Card, US Citizen","Certifications: Basic Life Support (BLS) Certification, Advanced Cardiovascular Life Support (ACLS)","Benefits: Dental , Eye Care, Medical","Reward Rate:
USD
$
9.01 /hr","Reward Rate:
USD
$
9.01 /hr"
Ascension Health,RN-Medical/Surgical,ASC-8420|AH-HHC-81078,onsite,"['Provide direct nursing care in accordance with established policies, procedures and protocols of the healthcare organization.', 'Department: Renal Dialysis Unit', 'Shift Timing: 06:45 - 19:15']","['Implement and monitor patient care plans. Monitor, record and communicate patient condition as appropriate.', 'Serve as a primary coordinator of all disciplines for well-coordinated patient care.', 'Note and carry out physician and nursing orders.', ""Assess and coordinate patient's discharge planning needs with members of the healthcare team.""]","['Traveler RN Medical / Surgical', 'RN Medical / Surgical', 'Registered Nurse > Registered Nurse Nursing']",1 Available Positions,1-3 years Experience Required,4 months Term,"Work Auth: Green Card, US Citizen","Certifications: Basic Life Support (BLS) Certification, Licensed Registered Nurse credentialed from the Tennessee Board of Nursing required","Benefits: Dental , Eye Care, Medical","Reward Rate:
USD
$
6.46 /hr","Reward Rate:
USD
$
6.46 /hr"
Community Medical Center,RN MICU,CHS-5|CME-HHC-34121,onsite,"['Department: ICU 4TH FLOOR', 'Shift Timings: Night Shift 19:00 - 07:30 Hours ']","['Implement and monitor patient care plans. Monitor, record and communicate patient condition as appropriate.', 'Serve as a primary coordinator of all disciplines for well-coordinated patient care.', 'Note and carry out physician and nursing orders.', ""Assess and coordinate patient's discharge planning needs with members of the healthcare team.""]","['RN MICU', 'Traveler RN MICU']",1 Available Positions,1-3 years Experience Required,3 months Term,"Work Auth: Green Card, US Citizen","Certifications: Basic Life Support (BLS) Certification, Advanced Cardiovascular Life Support (ACLS), National Institutes of Health (NIH)","Benefits: Dental , Eye Care, Medical","Reward Rate:
USD
$
9.83 /hr","Reward Rate:
USD
$
9.83 /hr"
Ascension Health,RN-Medical/Surgical,ASC-7954|AH-HHC-44988,onsite,"['Provide direct nursing care in accordance with established policies, procedures and protocols of the healthcare organization.', 'Department: Orthopedics Unit', 'Shift Timing: 18:30 - 07:00']","['Implement and monitor patient care plans. Monitor, record and communicate patient condition as appropriate.', 'Serve as a primary coordinator of all disciplines for well-coordinated patient care.', 'Note and carry out physician and nursing orders.', ""Assess and coordinate patient's discharge planning needs with members of the healthcare team.""]","['Traveler RN Medical / Surgical', 'RN Medical / Surgical', 'Registered Nurse > Registered Nurse Nursing']",1 Available Positions,1-3 years Experience Required,4 months Term,"Work Auth: Green Card, US Citizen","Certifications: Basic Life Support (BLS) Certification, Licensed Registered Nurse credentialed from the Tennessee Board of Nursing required","Benefits: Dental , Eye Care, Medical","Reward Rate:
USD
$
6.46 /hr","Reward Rate:
USD
$
6.46 /hr"
